orden,n_comp,renglon,cod_art,cantidad,importe_neto,precio_neto,porc_iva,adicional,precio_lista,total_renglon,cuales,revend
1,"B0000304652645",1,"5/400277-1",2,5249.20968000000,2478.5123,21.00,"",2999.00,5998.00,"X",307971
1,"B0000304652645",2,"1/101061-2",2,3746.30256000000,2147.9338,21.00,"",2599.00,5198.00,"X",307971
1,"B0000304652645",3,"1/101290-1",1,16575.83928000000,19007.4380,21.00,"",22999.00,22999.00,"X",307971
1,"B0000304652645",4,"1/101073-1",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",307971
1,"B0000304652645",5,"1/101540-5",1,3602.87928000000,4131.4049,21.00,"",4999.00,4999.00,"X",307971
1,"B0000304652645",6,"2/101027-8",1,7206.47928000000,8263.6363,21.00,"",9999.00,9999.00,"X",307971
1,"B0000304652645",7,"1/101532-5",1,9368.63928000000,10742.9752,21.00,"",12999.00,12999.00,"X",307971
1,"B0000304652645",8,"2/101532-5",1,7206.47928000000,8263.6363,21.00,"",9999.00,9999.00,"X",307971
1,"B0000304652645",9,"5/406529-0",1,5250.08484000000,4957.8512,21.00,"",5999.00,5999.00,"X",307971
2,"B0000304652646",1,"1/101503-4",1,10810.07928000000,12395.8677,21.00,"",14999.00,14999.00,"X",368118
2,"B0000304652646",2,"1/101076-8",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",368118
2,"B0000304652646",3,"1/101075-6",2,3746.30256000000,2147.9338,21.00,"",2599.00,5198.00,"X",368118
2,"B0000304652646",4,"1/101073-1",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",368118
2,"B0000304652646",5,"1/41183-9",1,5044.31928000000,5784.2975,21.00,"",6999.00,6999.00,"X",368118
2,"B0000304652646",6,"1/101064-9",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",368118
2,"B0000304652646",7,"1/100256-7",3,34592.39784000000,13222.3140,21.00,"",15999.00,47997.00,"X",368118
2,"B0000304652646",8,"1/32462-2",1,4323.59928000000,4957.8512,21.00,"",5999.00,5999.00,"X",368118
2,"B0000304652646",9,"1/100721-7",3,32430.23784000000,12395.8677,21.00,"",14999.00,44997.00,"X",368118
2,"B0000304652646",10,"2/101275-3",1,5548.82328000000,6362.8099,21.00,"",7699.00,7699.00,"X",368118
2,"B0000304652646",11,"1/101600-7",1,2593.87128000000,2974.3801,21.00,"",3599.00,3599.00,"X",368118
2,"B0000304652646",12,"2/100710-0",1,1332.61128000000,1528.0991,21.00,"",1849.00,1849.00,"X",368118
2,"B0000304652646",13,"1/101601-9",1,2593.87128000000,2974.3801,21.00,"",3599.00,3599.00,"X",368118
2,"B0000304652646",14,"2/101568-2",1,1332.61128000000,1528.0991,21.00,"",1849.00,1849.00,"X",368118
2,"B0000304652646",15,"1/101576-2",1,14413.67928000000,16528.0991,21.00,"",19999.00,19999.00,"X",368118
2,"B0000304652646",16,"1/100722-9",3,32430.23784000000,12395.8677,21.00,"",14999.00,44997.00,"X",368118
2,"B0000304652646",17,"2/101431-4",1,1332.61128000000,1528.0991,21.00,"",1849.00,1849.00,"X",368118
2,"B0000304652646",18,"2/100909-3",1,1332.61128000000,1528.0991,21.00,"",1849.00,1849.00,"X",368118
2,"B0000304652646",19,"2/101397-5",1,5548.82328000000,6362.8099,21.00,"",7699.00,7699.00,"X",368118
2,"B0000304652646",20,"1/100720-4",4,43240.31712000000,12395.8677,21.00,"",14999.00,59996.00,"X",368118
2,"B0000304652646",21,"2/101396-3",1,5548.82328000000,6362.8099,21.00,"",7699.00,7699.00,"X",368118
2,"B0000304652646",22,"4/101405-0",14,0.14414400000,0.0082,21.00,"",0.01,0.14,"X",368118
2,"B0000304652646",23,"2/101109-2",1,5548.82328000000,6362.8099,21.00,"",7699.00,7699.00,"X",368118
2,"B0000304652646",24,"3/407484-7",1,2624.60484000000,2478.5123,21.00,"",2999.00,2999.00,"X",368118
2,"B0000304652646",25,"3/407485-9",3,7873.81452000000,2478.5123,21.00,"",2999.00,8997.00,"X",368118
2,"B0000304652646",26,"5/406562-2",3,6823.62252000000,2147.9338,21.00,"",2599.00,7797.00,"X",368118
2,"B0000304652646",27,"5/406562-2",1,2624.60484000000,2478.5123,21.00,"",2999.00,2999.00,"X",368118
2,"B0000304652646",28,"5/901124-5",4,10498.41936000000,2478.5123,21.00,"",2999.00,11996.00,"X",368118
2,"B0000304652646",29,"5/407484-7",1,7875.56484000000,7437.1900,21.00,"",8999.00,8999.00,"X",368118
2,"B0000304652646",30,"5/901166-7",2,8749.84968000000,4131.4049,21.00,"",4999.00,9998.00,"X",368118
2,"B0000304652646",31,"5/404415-7",2,21002.08968000000,9916.5289,21.00,"",11999.00,23998.00,"X",368118
