orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
1,"B0000304655835","2025-06-17",5158761,2,85857.73,24984.60,70956.80,0.00,14900.93,0.00000000000,"2468.33",0.00,"17457.00","7527.60","","0.00","0.00",505
2,"B0000304655836","2025-06-17",5469074,2,49373.56,9838.90,40804.60,0.00,8568.97,0.00000000000,"1419.44",0.00,"8119.20","1719.70","","0.00","0.00",505
3,"B0000304655837","2025-06-17",6030203,2,66947.74,18760.95,55328.71,0.00,11619.03,0.00000000000,"1924.68",0.00,"18386.10","374.85","","0.00","0.00",505
4,"B0000304655838","2025-06-17",6286470,10,286087.65,82595.10,213969.30,0.00,72118.35,6419.08000000000,"8224.74",0.00,"57052.80","25542.30","","0.00","27184.80",505
5,"B0000304655839","2025-06-17",6361544,2,40592.03,16360.95,33547.13,0.00,7044.90,0.00000000000,"1166.98",0.00,"15986.10","374.85","","0.00","0.00",505
6,"B0000304655840","2025-06-17",6511732,2,73993.11,27222.15,61151.33,0.00,12841.78,0.00000000000,"2127.23",0.00,"26097.60","1124.55","","0.00","0.00",505
7,"B0000304655841","2025-06-17",6601154,2,44306.57,10758.20,36617.00,0.00,7689.57,0.00000000000,"1273.77",0.00,"10758.20","0.00","","0.00","0.00",505
8,"B0000304655842","2025-06-17",6693075,2,124055.86,38977.65,102525.50,0.00,21530.36,0.00000000000,"3566.49",0.00,"30115.20","8862.45","","0.00","0.00",505
9,"B0000304655843","2025-06-17",6759378,2,21440.60,4568.80,17719.50,0.00,3721.10,0.00000000000,"616.40",0.00,"4059.00","509.80","","0.00","0.00",505
10,"B0000304655844","2025-06-17",6917496,2,30575.42,3299.60,25268.95,0.00,5306.48,0.00000000000,"879.01",0.00,"0.00","3299.60","","0.00","0.00",505
11,"B0000304655845","2025-06-17",6918050,2,95390.17,37435.20,78834.86,0.00,16555.32,0.00000000000,"2742.37",0.00,"35845.50","1589.70","","0.00","0.00",505
