orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
1,"B0000304653000","2025-06-17",3324591,2,51001.75,15658.50,42150.21,0.00,8851.54,0.00000000000,"1466.25",0.00,"11758.80","3899.70","","0.00","0.00",070
2,"B0000304653001","2025-06-17",4888472,2,32841.77,7099.40,27141.96,0.00,5699.81,0.00000000000,"944.17",0.00,"6399.40","700.00","","0.00","0.00",070
3,"B0000304653002","2025-06-17",5384680,2,70175.13,22526.40,57995.97,0.00,12179.15,0.00000000000,"2017.47",0.00,"17847.60","4678.80","","0.00","0.00",070
4,"B0000304653003","2025-06-17",6061982,2,69111.49,25961.40,57116.93,0.00,11994.56,0.00000000000,"1986.89",0.00,"23997.00","1964.40","","0.00","0.00",070
5,"B0000304653004","2025-06-17",6194230,2,57527.46,13968.40,47543.35,0.00,9984.10,0.00000000000,"1653.86",0.00,"13968.40","0.00","","0.00","0.00",070
6,"B0000304653005","2025-06-17",6729525,2,27134.18,5338.90,22424.94,0.00,4709.24,0.00000000000,"780.08",0.00,"4339.20","999.70","","0.00","0.00",070
7,"B0000304653006","2025-06-17",6792960,10,454391.05,143478.30,339845.97,0.00,114545.08,10195.38000000000,"13063.30",0.00,"118434.00","25044.30","","0.00","43177.43",070
8,"B0000304653007","2025-06-17",6870430,2,67803.60,15838.70,56036.03,0.00,11767.57,0.00000000000,"1949.29",0.00,"15338.80","499.90","","0.00","0.00",070
9,"B0000304653008","2025-06-17",6910300,2,71263.21,25571.55,58895.21,0.00,12367.99,0.00000000000,"2048.75",0.00,"22707.30","2864.25","","0.00","0.00",070
10,"B0000304653009","2025-06-17",7936974,2,66769.72,19736.85,55181.59,0.00,11588.13,0.00000000000,"1919.56",0.00,"14097.60","5639.25","","0.00","0.00",070
11,"B0000304653010","2025-06-17",8157510,2,59080.52,4909.00,48826.87,0.00,10253.64,0.00000000000,"1698.51",0.00,"3359.20","1549.80","","0.00","0.00",070
12,"B0000304653011","2025-06-17",8275009,2,39465.30,7458.30,32615.95,0.00,6849.35,0.00000000000,"1134.59",0.00,"5758.80","1699.50","","0.00","0.00",070
13,"B0000304653012","2025-06-17",8388130,2,65702.95,18565.95,54299.96,0.00,11402.99,0.00000000000,"1888.90",0.00,"12417.90","6148.05","","0.00","0.00",070
14,"B0000304653013","2025-06-17",8638012,2,39994.19,16647.60,33053.05,0.00,6941.14,0.00000000000,"1149.79",0.00,"16647.60","0.00","","0.00","0.00",070
15,"B0000304653014","2025-06-17",8717273,2,80800.71,24506.25,66777.45,0.00,14023.26,0.00000000000,"2322.94",0.00,"18117.30","6388.95","","0.00","0.00",070
16,"B0000304653015","2025-06-17",8750904,2,107182.49,38079.90,88580.57,0.00,18601.92,0.00000000000,"3081.39",0.00,"33505.50","4574.40","","0.00","0.00",070
17,"B0000304653016","2025-06-17",8805679,2,95634.29,29996.10,79036.61,0.00,16597.69,0.00000000000,"2749.39",0.00,"23127.90","6868.20","","0.00","0.00",070
18,"B0000304653017","2025-06-17",9084924,10,849972.97,246271.95,635707.69,0.00,214265.28,19071.23000000000,"24435.90",0.00,"171001.20","75270.75","","0.00","80766.66",070
19,"B0000304653018","2025-06-17",9292055,2,62046.80,25827.00,51278.34,0.00,10768.45,0.00000000000,"1783.79",0.00,"25827.00","0.00","","0.00","0.00",070
20,"B0000304653019","2025-06-17",9617140,2,125177.35,50798.40,103452.35,0.00,21724.99,0.00000000000,"0.00",0.00,"55962.63","6993.63","","0.00","0.00",070
21,"B0000304653020","2025-06-17",9617280,2,52530.76,15267.45,43413.85,0.00,9116.91,0.00000000000,"1510.21",0.00,"10648.50","4618.95","","0.00","0.00",070
22,"B0000304653021","2025-06-17",9982256,2,47897.92,10068.10,39585.06,0.00,8312.86,0.00000000000,"1377.02",0.00,"8818.40","1249.70","","0.00","0.00",070
23,"B0000304653022","2025-06-17",10288899,2,58015.29,12237.60,47946.52,0.00,10068.77,0.00000000000,"1667.88",0.00,"3899.70","8337.90","","0.00","0.00",070
24,"B0000304653023","2025-06-17",10482857,2,67666.66,22460.70,55922.86,0.00,11743.80,0.00000000000,"1945.35",0.00,"19386.60","3074.10","","0.00","0.00",070
25,"B0000304653024","2025-06-17",10752340,2,122938.98,51173.40,101602.46,0.00,21336.52,0.00000000000,"3534.38",0.00,"51173.40","0.00","","0.00","0.00",070
26,"B0000304653025","2025-06-17",11047925,2,53988.41,20651.70,44618.52,0.00,9369.89,0.00000000000,"1552.11",0.00,"19377.00","1274.70","","0.00","0.00",070
27,"B0000304653026","2025-06-17",11430699,2,27626.54,5058.70,22831.85,0.00,4794.69,0.00000000000,"794.24",0.00,"3739.20","1319.50","","0.00","0.00",070
28,"B0000304653027","2025-06-17",11602376,2,124330.85,36713.55,102752.77,0.00,21578.08,0.00000000000,"3574.39",0.00,"26186.10","10527.45","","0.00","0.00",070
29,"B0000304653028","2025-06-17",11817275,2,46931.95,16107.30,38786.73,0.00,8145.21,0.00000000000,"1349.25",0.00,"13707.60","2399.70","","0.00","0.00",070
30,"B0000304653029","2025-06-17",11817305,2,30472.04,7399.00,25183.51,0.00,5288.54,0.00000000000,"876.04",0.00,"7399.00","0.00","","0.00","0.00",070
31,"B0000304653030","2025-06-17",12140902,2,36956.26,11098.20,30542.36,0.00,6413.90,0.00000000000,"1062.46",0.00,"8098.80","2999.40","","0.00","0.00",070
32,"B0000304653031","2025-06-17",12221511,2,42962.80,10363.35,35506.45,0.00,7456.35,0.00000000000,"1235.14",0.00,"5099.40","5263.95","","0.00","0.00",070
33,"B0000304653032","2025-06-17",12354589,2,93126.15,28524.15,76963.76,0.00,16162.39,0.00000000000,"2677.29",0.00,"21356.40","7167.75","","0.00","0.00",070
34,"B0000304653033","2025-06-17",12420727,2,28718.44,3099.20,23734.25,0.00,4984.19,0.00000000000,"825.63",0.00,"0.00","3099.20","","0.00","0.00",070
35,"B0000304653034","2025-06-17",12774308,2,18385.26,3339.30,15194.43,0.00,3190.83,0.00000000000,"528.56",0.00,"2439.40","899.90","","0.00","0.00",070
36,"B0000304653035","2025-06-17",12898600,2,44144.00,6219.10,36482.64,0.00,7661.35,0.00000000000,"1269.10",0.00,"2619.40","3599.70","","0.00","0.00",070
37,"B0000304653036","2025-06-17",12937240,2,55975.49,15822.75,46260.74,0.00,9714.75,0.00000000000,"1609.24",0.00,"13348.20","2474.55","","0.00","0.00",070
38,"B0000304653037","2025-06-17",12996882,2,44886.35,8399.10,37096.16,0.00,7790.19,0.00000000000,"1290.44",0.00,"6399.20","1999.90","","0.00","0.00",070
39,"B0000304653038","2025-06-17",13235540,2,71421.92,13661.40,59026.38,0.00,12395.54,0.00000000000,"2053.31",0.00,"8413.20","5248.20","","0.00","0.00",070
40,"B0000304653039","2025-06-17",13259741,2,34135.47,7038.90,28211.13,0.00,5924.34,0.00000000000,"981.36",0.00,"6039.20","999.70","","0.00","0.00",070
41,"B0000304653040","2025-06-17",13304518,2,112697.98,32214.00,93138.82,0.00,19559.15,0.00000000000,"3239.96",0.00,"21926.40","10287.60","","0.00","0.00",070
42,"B0000304653041","2025-06-17",13378716,2,35967.58,8652.45,29725.28,0.00,6242.31,0.00000000000,"1034.03",0.00,"4229.10","4423.35","","0.00","0.00",070
43,"B0000304653042","2025-06-17",13378880,2,67226.25,23697.45,55558.88,0.00,11667.37,0.00000000000,"1932.69",0.00,"20697.60","2999.85","","0.00","0.00",070
44,"B0000304653043","2025-06-17",13575554,2,41661.85,8228.90,34431.28,0.00,7230.57,0.00000000000,"1197.74",0.00,"6719.20","1509.70","","0.00","0.00",070
45,"B0000304653044","2025-06-17",13638122,2,56884.84,19436.55,47012.27,0.00,9872.58,0.00000000000,"1635.38",0.00,"16467.30","2969.25","","0.00","0.00",070
46,"B0000304653045","2025-06-17",13813250,2,87655.98,34345.05,72442.96,0.00,15213.02,0.00000000000,"2520.02",0.00,"32845.80","1499.25","","0.00","0.00",070
47,"B0000304653046","2025-06-17",13914839,2,32239.67,3479.20,26644.35,0.00,5595.31,0.00000000000,"926.86",0.00,"0.00","3479.20","","0.00","0.00",070
48,"B0000304653047","2025-06-17",13960601,2,32881.20,7659.10,27174.55,0.00,5706.66,0.00000000000,"945.30",0.00,"7399.20","259.90","","0.00","0.00",070
49,"B0000304653048","2025-06-17",13960741,2,46401.97,16423.05,38348.74,0.00,8053.23,0.00000000000,"1334.01",0.00,"14398.80","2024.25","","0.00","0.00",070
50,"B0000304653049","2025-06-17",13960768,2,26351.69,5398.90,21778.25,0.00,4573.43,0.00000000000,"757.59",0.00,"4599.20","799.70","","0.00","0.00",070
51,"B0000304653050","2025-06-17",14230305,2,24707.11,5999.20,20419.10,0.00,4288.01,0.00000000000,"710.31",0.00,"5999.20","0.00","","0.00","0.00",070
52,"B0000304653051","2025-06-17",20011474,2,21488.95,7016.85,17759.46,0.00,3729.49,0.00000000000,"617.79",0.00,"5667.30","1349.55","","0.00","0.00",070
53,"B0000304653052","2025-06-17",20081383,2,34314.30,9763.20,28358.93,0.00,5955.37,0.00000000000,"986.50",0.00,"6599.10","3164.10","","0.00","0.00",070
54,"B0000304653053","2025-06-17",20183526,2,70630.58,19737.00,58372.38,0.00,12258.20,0.00000000000,"2030.56",0.00,"18972.30","764.70","","0.00","0.00",070
55,"B0000304653054","2025-06-17",20231822,2,64723.95,24370.80,53490.87,0.00,11233.08,0.00000000000,"1860.75",0.00,"22571.40","1799.40","","0.00","0.00",070
56,"B0000304653055","2025-06-17",20327420,2,33768.41,8199.40,27907.78,0.00,5860.63,0.00000000000,"970.81",0.00,"8199.40","0.00","","0.00","0.00",070
57,"B0000304653056","2025-06-17",20327617,2,28929.19,5899.50,23908.42,0.00,5020.77,0.00000000000,"831.69",0.00,"4999.60","899.90","","0.00","0.00",070
58,"B0000304653057","2025-06-17",20362137,2,69767.39,13828.35,57659.00,0.00,12108.39,0.00000000000,"2005.74",0.00,"12178.80","1649.55","","0.00","0.00",070
59,"B0000304653058","2025-06-17",20401760,2,47990.53,15477.15,39661.60,0.00,8328.94,0.00000000000,"1379.68",0.00,"12327.90","3149.25","","0.00","0.00",070
60,"B0000304653059","2025-06-17",20433905,2,64817.49,23080.95,53568.17,0.00,11249.32,0.00000000000,"1863.44",0.00,"20351.40","2729.55","","0.00","0.00",070
61,"B0000304653060","2025-06-17",20512520,2,46723.10,13707.15,38614.14,0.00,8108.97,0.00000000000,"1343.24",0.00,"9688.20","4018.95","","0.00","0.00",070
62,"B0000304653061","2025-06-17",20544090,2,58255.81,20907.00,48145.30,0.00,10110.51,0.00000000000,"1674.80",0.00,"18567.60","2339.40","","0.00","0.00",070
63,"B0000304653062","2025-06-17",20653875,2,22934.34,4119.00,18954.00,0.00,3980.34,0.00000000000,"659.34",0.00,"2959.20","1159.80","","0.00","0.00",070
64,"B0000304653063","2025-06-17",20654022,2,39913.89,11022.60,32986.68,0.00,6927.20,0.00000000000,"1147.49",0.00,"7108.50","3914.10","","0.00","0.00",070
65,"B0000304653064","2025-06-17",20676204,2,45953.94,4959.20,37978.46,0.00,7975.48,0.00000000000,"1321.13",0.00,"0.00","4959.20","","0.00","0.00",070
66,"B0000304653065","2025-06-17",20749716,2,43699.88,17547.45,36115.60,0.00,7584.28,0.00000000000,"1256.33",0.00,"17097.60","449.85","","0.00","0.00",070
67,"B0000304653066","2025-06-17",20794550,2,81076.26,24429.60,67005.18,0.00,14071.09,0.00000000000,"2330.86",0.00,"17906.70","6522.90","","0.00","0.00",070
68,"B0000304653067","2025-06-17",20794690,2,42914.45,14007.30,35466.49,0.00,7447.96,0.00000000000,"1233.75",0.00,"11308.20","2699.10","","0.00","0.00",070
69,"B0000304653068","2025-06-17",20837240,2,135435.29,55732.35,111929.99,0.00,23505.30,0.00000000000,"3893.63",0.00,"55282.50","449.85","","0.00","0.00",070
70,"B0000304653069","2025-06-17",20870450,2,61037.79,25407.00,50444.45,0.00,10593.33,0.00000000000,"1754.78",0.00,"25407.00","0.00","","0.00","0.00",070
71,"B0000304653070","2025-06-17",20909683,2,39941.90,9698.40,33009.84,0.00,6932.07,0.00000000000,"1148.29",0.00,"9698.40","0.00","","0.00","0.00",070
72,"B0000304653071","2025-06-17",20979282,2,21964.47,3059.00,18152.45,0.00,3812.01,0.00000000000,"631.46",0.00,"1239.60","1819.40","","0.00","0.00",070
73,"B0000304653072","2025-06-17",21114277,2,62125.86,10648.20,51343.68,0.00,10782.17,0.00000000000,"1786.06",0.00,"0.00","10648.20","","0.00","0.00",070
74,"B0000304653073","2025-06-17",21153205,2,34688.67,6298.60,28668.32,0.00,6020.35,0.00000000000,"997.27",0.00,"4599.20","1699.40","","0.00","0.00",070
75,"B0000304653074","2025-06-17",21385882,2,61071.29,10467.45,50472.14,0.00,10599.15,0.00000000000,"1755.74",0.00,"0.00","10467.45","","0.00","0.00",070
76,"B0000304653075","2025-06-17",21440930,2,44099.42,18356.40,36445.80,0.00,7653.62,0.00000000000,"1267.82",0.00,"18356.40","0.00","","0.00","0.00",070
77,"B0000304653076","2025-06-17",21441073,2,29275.23,7108.40,24194.41,0.00,5080.83,0.00000000000,"841.63",0.00,"7108.40","0.00","","0.00","0.00",070
78,"B0000304653077","2025-06-17",21471223,2,42113.68,12688.05,34804.69,0.00,7308.99,0.00000000000,"1210.73",0.00,"9298.80","3389.25","","0.00","0.00",070
79,"B0000304653078","2025-06-17",21471576,2,44750.95,18627.60,36984.25,0.00,7766.69,0.00000000000,"1286.55",0.00,"18627.60","0.00","","0.00","0.00",070
80,"B0000304653079","2025-06-17",21500568,2,39580.11,7048.80,32710.83,0.00,6869.28,0.00000000000,"1137.89",0.00,"4999.40","2049.40","","0.00","0.00",070
81,"B0000304653080","2025-06-17",21500606,2,47046.75,10298.80,38881.61,0.00,8165.14,0.00000000000,"1352.55",0.00,"9399.00","899.80","","0.00","0.00",070
82,"B0000304653081","2025-06-17",21586080,2,45280.06,13706.70,37421.54,0.00,7858.52,0.00000000000,"1301.76",0.00,"10107.90","3598.80","","0.00","0.00",070
83,"B0000304653082","2025-06-17",21586683,2,41382.92,7798.80,34200.76,0.00,7182.16,0.00000000000,"1189.72",0.00,"5999.20","1799.60","","0.00","0.00",070
84,"B0000304653083","2025-06-17",21640394,2,46521.03,4509.40,38447.14,0.00,8073.90,0.00000000000,"1337.43",0.00,"3999.60","509.80","","0.00","0.00",070
85,"B0000304653084","2025-06-17",21640670,2,44495.36,16271.85,36773.02,0.00,7722.33,0.00000000000,"1279.20",0.00,"14697.30","1574.55","","0.00","0.00",070
86,"B0000304653085","2025-06-17",21682895,2,31754.10,5048.80,26243.06,0.00,5511.04,0.00000000000,"912.90",0.00,"2919.60","2129.20","","0.00","0.00",070
87,"B0000304653086","2025-06-17",21715157,2,30140.93,7318.60,24909.86,0.00,5231.07,0.00000000000,"866.52",0.00,"7318.60","0.00","","0.00","0.00",070
88,"B0000304653087","2025-06-17",21757038,2,71590.20,26157.00,59165.45,0.00,12424.75,0.00000000000,"2058.15",0.00,"23607.30","2549.70","","0.00","0.00",070
89,"B0000304653088","2025-06-17",21788448,2,28473.71,6538.90,23531.99,0.00,4941.72,0.00000000000,"818.59",0.00,"6239.00","299.90","","0.00","0.00",070
90,"B0000304653089","2025-06-17",21788650,2,47922.53,16948.20,39605.39,0.00,8317.13,0.00000000000,"1377.73",0.00,"14848.50","2099.70","","0.00","0.00",070
91,"B0000304653090","2025-06-17",21788693,2,113678.84,42070.35,93949.45,0.00,19729.38,0.00000000000,"3268.16",0.00,"38396.40","3673.95","","0.00","0.00",070
92,"B0000304653091","2025-06-17",21826218,2,36664.67,13976.40,30301.38,0.00,6363.29,0.00000000000,"1054.07",0.00,"13076.70","899.70","","0.00","0.00",070
93,"B0000304653092","2025-06-17",21855900,2,35671.01,3849.50,29480.17,0.00,6190.84,0.00000000000,"1025.51",0.00,"0.00","3849.50","","0.00","0.00",070
94,"B0000304653093","2025-06-17",21966311,2,37028.38,10422.15,30601.97,0.00,6426.41,0.00000000000,"1064.53",0.00,"7617.90","2804.25","","0.00","0.00",070
95,"B0000304653094","2025-06-17",21966745,2,39648.98,7677.90,32767.75,0.00,6881.23,0.00000000000,"1139.87",0.00,"1499.70","6178.20","","0.00","0.00",070
96,"B0000304653095","2025-06-17",22027041,2,33431.83,9417.30,27629.61,0.00,5802.22,0.00000000000,"961.13",0.00,"6268.20","3149.10","","0.00","0.00",070
97,"B0000304653096","2025-06-17",22027220,2,28224.42,2579.00,23325.97,0.00,4898.45,0.00000000000,"811.42",0.00,"2079.20","499.80","","0.00","0.00",070
98,"B0000304653097","2025-06-17",22028021,2,45953.32,6958.80,37977.95,0.00,7975.37,0.00000000000,"1321.11",0.00,"3599.40","3359.40","","0.00","0.00",070
