orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
183,"B0000304652827","2025-06-17",23297573,2,78574.80,32064.15,64937.85,0.00,13636.95,0.00000000000,"2258.95",0.00,"31614.30","449.85","","0.00","0.00",012
184,"B0000304652828","2025-06-17",23358378,2,22749.84,4899.20,18801.52,0.00,3948.32,0.00000000000,"654.04",0.00,"4399.40","499.80","","0.00","0.00",012
185,"B0000304652829","2025-06-17",23382490,2,33642.40,8168.80,27803.63,0.00,5838.76,0.00000000000,"967.19",0.00,"8168.80","0.00","","0.00","0.00",012
186,"B0000304652830","2025-06-17",23461926,2,119699.34,49824.90,98925.07,0.00,20774.27,0.00000000000,"3441.24",0.00,"49824.90","0.00","","0.00","0.00",012
187,"B0000304652831","2025-06-17",23463538,2,39446.87,9578.20,32600.72,0.00,6846.15,0.00000000000,"1134.06",0.00,"9578.20","0.00","","0.00","0.00",012
188,"B0000304652832","2025-06-17",23481994,2,73783.98,24821.25,60978.49,0.00,12805.48,0.00000000000,"2121.22",0.00,"20697.30","4123.95","","0.00","0.00",012
189,"B0000304652833","2025-06-17",23499885,2,112076.44,35512.65,92625.16,0.00,19451.28,0.00000000000,"3222.09",0.00,"27715.20","7797.45","","0.00","0.00",012
190,"B0000304652834","2025-06-17",23527129,2,28287.45,6118.80,23378.06,0.00,4909.39,0.00000000000,"813.24",0.00,"5519.00","599.80","","0.00","0.00",012
191,"B0000304652835","2025-06-17",23535644,2,22233.09,3399.10,18374.45,0.00,3858.64,0.00000000000,"639.18",0.00,"1799.60","1599.50","","0.00","0.00",012
192,"B0000304652836","2025-06-17",23541482,2,29894.65,7258.80,24706.32,0.00,5188.33,0.00000000000,"859.44",0.00,"7258.80","0.00","","0.00","0.00",012
193,"B0000304652837","2025-06-17",23541598,2,54480.68,22677.60,45025.35,0.00,9455.32,0.00000000000,"1566.27",0.00,"22677.60","0.00","","0.00","0.00",012
194,"B0000304652838","2025-06-17",23559020,2,14452.83,1359.70,11944.49,0.00,2508.34,0.00000000000,"415.50",0.00,"0.00","1359.70","","0.00","0.00",012
195,"B0000304652839","2025-06-17",23559322,2,55432.08,16646.55,45811.64,0.00,9620.44,0.00000000000,"1593.62",0.00,"12147.60","4498.95","","0.00","0.00",012
196,"B0000304652840","2025-06-17",23562412,2,77343.17,27266.40,63919.98,0.00,13423.19,0.00000000000,"2223.54",0.00,"23817.00","3449.40","","0.00","0.00",012
197,"B0000304652841","2025-06-17",23582219,2,19267.93,2779.00,15923.91,0.00,3344.02,0.00000000000,"553.93",0.00,"1259.40","1519.60","","0.00","0.00",012
198,"B0000304652842","2025-06-17",23584076,2,75720.86,24835.05,62579.22,0.00,13141.64,0.00000000000,"2176.90",0.00,"20156.40","4678.65","","0.00","0.00",012
199,"B0000304652843","2025-06-17",23599626,2,98277.59,38122.80,81221.14,0.00,17056.44,0.00000000000,"2825.39",0.00,"36173.10","1949.70","","0.00","0.00",012
200,"B0000304652844","2025-06-17",23619490,2,33808.78,8099.20,27941.14,0.00,5867.64,0.00000000000,"971.97",0.00,"8099.20","0.00","","0.00","0.00",012
201,"B0000304652845","2025-06-17",23630140,2,102411.59,20905.65,84637.68,0.00,17773.91,0.00000000000,"2944.23",0.00,"5699.40","15206.25","","0.00","0.00",012
202,"B0000304652846","2025-06-17",23640669,2,69627.74,20412.00,57543.59,0.00,12084.15,0.00000000000,"2001.73",0.00,"20412.00","0.00","","0.00","0.00",012
203,"B0000304652847","2025-06-17",23640766,2,37307.76,9058.80,30832.86,0.00,6474.90,0.00000000000,"1072.56",0.00,"9058.80","0.00","","0.00","0.00",012
204,"B0000304652848","2025-06-17",23641959,2,98609.79,39204.15,81495.69,0.00,17114.10,0.00000000000,"2834.94",0.00,"37914.60","1289.55","","0.00","0.00",012
205,"B0000304652849","2025-06-17",23686057,2,26897.28,3769.00,22229.16,0.00,4668.12,0.00000000000,"773.27",0.00,"1559.40","2209.60","","0.00","0.00",012
206,"B0000304652850","2025-06-17",23720743,2,27381.19,5399.00,22629.08,0.00,4752.11,0.00000000000,"787.18",0.00,"4399.40","999.60","","0.00","0.00",012
207,"B0000304652851","2025-06-17",23733713,2,25781.61,6747.60,21307.11,0.00,4474.49,0.00000000000,"741.20",0.00,"3958.80","2788.80","","0.00","0.00",012
