orden,n_comp,renglon,cod_art,cantidad,importe_neto,precio_neto,porc_iva,adicional,precio_lista,total_renglon,cuales,revend
1,"B0000304653341",1,"1/101063-7",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",271737
1,"B0000304653341",2,"1/101067-6",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",271737
1,"B0000304653341",3,"1/41183-9",3,15132.95784000000,5784.2975,21.00,"",6999.00,20997.00,"X",271737
1,"B0000304653341",4,"1/101064-9",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",271737
1,"B0000304653341",5,"1/101069-0",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",271737
1,"B0000304653341",6,"1/101032-1",1,9368.63928000000,10742.9752,21.00,"",12999.00,12999.00,"X",271737
1,"B0000304653341",7,"1/32462-2",1,4323.59928000000,4957.8512,21.00,"",5999.00,5999.00,"X",271737
1,"B0000304653341",8,"1/101495-0",1,2882.15928000000,3304.9586,21.00,"",3999.00,3999.00,"X",271737
1,"B0000304653341",9,"1/101655-0",1,5044.31928000000,5784.2975,21.00,"",6999.00,6999.00,"X",271737
1,"B0000304653341",10,"5/201792-5",4,6997.77936000000,1652.0661,21.00,"",1999.00,7996.00,"X",271737
1,"B0000304653341",11,"5/404415-7",1,3499.76484000000,3304.9586,21.00,"",3999.00,3999.00,"X",271737
1,"B0000304653341",12,"4/900460-1",1,0.01029600000,0.0082,21.00,"",0.01,0.01,"X",271737
2,"B0000304653342",1,"1/42217-6",2,8235.15264000000,4131.4049,21.00,"",4999.00,9998.00,"X",277759
2,"B0000304653342",2,"1/101121-4",1,4941.25632000000,4957.8512,21.00,"",5999.00,5999.00,"X",277759
2,"B0000304653342",3,"1/101605-8",1,5764.93632000000,5784.2975,21.00,"",6999.00,6999.00,"X",277759
2,"B0000304653342",4,"5/404415-7",1,2315.67336000000,2065.2892,21.00,"",2499.00,2499.00,"X",277759
2,"B0000304653342",5,"5/901124-5",1,2778.99336000000,2478.5123,21.00,"",2999.00,2999.00,"X",277759
2,"B0000304653342",6,"5/407416-0",1,2778.99336000000,2478.5123,21.00,"",2999.00,2999.00,"X",277759
2,"B0000304653342",7,"5/901165-5",1,7412.19336000000,6610.7438,21.00,"",7999.00,7999.00,"X",277759
2,"B0000304653342",8,"4/900460-1",1,0.01029600000,0.0082,21.00,"",0.01,0.01,"X",277759
3,"B0000304653343",1,"5/405068-2",1,2315.67336000000,2065.2892,21.00,"",2499.00,2499.00,"X",323453
3,"B0000304653343",2,"1/101123-8",1,7412.29632000000,7437.1900,21.00,"",8999.00,8999.00,"X",323453
3,"B0000304653343",3,"1/100926-5",1,7000.45632000000,7023.9669,21.00,"",8499.00,8499.00,"X",323453
3,"B0000304653343",4,"5/46458-4",1,2315.67336000000,2065.2892,21.00,"",2499.00,2499.00,"X",323453
3,"B0000304653343",5,"5/400248-0",1,2315.67336000000,2065.2892,21.00,"",2499.00,2499.00,"X",323453
3,"B0000304653343",6,"5/46462-5",1,3705.63336000000,3304.9586,21.00,"",3999.00,3999.00,"X",323453
3,"B0000304653343",7,"5/404415-7",1,8338.83336000000,7437.1900,21.00,"",8999.00,8999.00,"X",323453
3,"B0000304653343",8,"5/405068-2",3,33356.26008000000,9916.5289,21.00,"",11999.00,35997.00,"X",323453
3,"B0000304653343",9,"4/900460-1",1,0.01029600000,0.0082,21.00,"",0.01,0.01,"X",323453
4,"B0000304653344",1,"5/406530-5",1,6650.34084000000,6280.1652,21.00,"",7599.00,7599.00,"X",464352
4,"B0000304653344",2,"1/101061-2",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",464352
4,"B0000304653344",3,"1/101495-0",2,5764.31856000000,3304.9586,21.00,"",3999.00,7998.00,"X",464352
4,"B0000304653344",4,"2/101275-3",1,5548.82328000000,6362.8099,21.00,"",7699.00,7699.00,"X",464352
4,"B0000304653344",5,"1/101530-1",1,9368.63928000000,10742.9752,21.00,"",12999.00,12999.00,"X",464352
4,"B0000304653344",6,"1/101639-0",1,3963.23928000000,4544.6280,21.00,"",5499.00,5499.00,"X",464352
4,"B0000304653344",7,"2/101272-7",1,5548.82328000000,6362.8099,21.00,"",7699.00,7699.00,"X",464352
4,"B0000304653344",8,"5/901124-5",1,2624.60484000000,2478.5123,21.00,"",2999.00,2999.00,"X",464352
5,"B0000304653345",1,"3/301725-4",1,3063.06000000000,2892.5619,21.00,"",3500.00,3500.00,"X",469910
5,"B0000304653345",2,"1/100062-5",1,7206.47928000000,8263.6363,21.00,"",9999.00,9999.00,"X",469910
5,"B0000304653345",3,"1/100640-4",1,6485.75928000000,7437.1900,21.00,"",8999.00,8999.00,"X",469910
5,"B0000304653345",4,"1/101067-6",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",469910
5,"B0000304653345",5,"1/101072-9",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",469910
5,"B0000304653345",6,"1/101291-3",1,7206.47928000000,8263.6363,21.00,"",9999.00,9999.00,"X",469910
5,"B0000304653345",7,"1/100801-7",2,23061.59856000000,13222.3140,21.00,"",15999.00,31998.00,"X",469910
5,"B0000304653345",8,"1/101604-5",1,5044.31928000000,5784.2975,21.00,"",6999.00,6999.00,"X",469910
5,"B0000304653345",9,"1/100256-7",2,23061.59856000000,13222.3140,21.00,"",15999.00,31998.00,"X",469910
5,"B0000304653345",10,"1/100633-7",1,5765.03928000000,6610.7438,21.00,"",7999.00,7999.00,"X",469910
5,"B0000304653345",11,"1/100903-0",1,3602.87928000000,4131.4049,21.00,"",4999.00,4999.00,"X",469910
5,"B0000304653345",12,"1/101605-8",2,10088.63856000000,5784.2975,21.00,"",6999.00,13998.00,"X",469910
5,"B0000304653345",13,"1/101631-2",1,5765.03928000000,6610.7438,21.00,"",7999.00,7999.00,"X",469910
5,"B0000304653345",14,"1/100630-0",1,5044.31928000000,5784.2975,21.00,"",6999.00,6999.00,"X",469910
5,"B0000304653345",15,"1/101602-1",1,2593.87128000000,2974.3801,21.00,"",3599.00,3599.00,"X",469910
5,"B0000304653345",16,"1/101638-7",1,3963.23928000000,4544.6280,21.00,"",5499.00,5499.00,"X",469910
5,"B0000304653345",17,"5/901165-5",1,2187.02484000000,2065.2892,21.00,"",2499.00,2499.00,"X",469910
6,"B0000304653346",1,"1/101061-2",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",542409
6,"B0000304653346",2,"1/101450-1",2,10088.63856000000,5784.2975,21.00,"",6999.00,13998.00,"X",542409
6,"B0000304653346",3,"1/100062-5",1,7206.47928000000,8263.6363,21.00,"",9999.00,9999.00,"X",542409
6,"B0000304653346",4,"1/100706-9",1,3602.87928000000,4131.4049,21.00,"",4999.00,4999.00,"X",542409
6,"B0000304653346",5,"1/101540-5",1,3602.87928000000,4131.4049,21.00,"",4999.00,4999.00,"X",542409
6,"B0000304653346",6,"1/100770-6",1,7206.47928000000,8263.6363,21.00,"",9999.00,9999.00,"X",542409
6,"B0000304653346",7,"5/400248-0",1,2187.02484000000,2065.2892,21.00,"",2499.00,2499.00,"X",542409
6,"B0000304653346",8,"5/404415-7",1,2187.02484000000,2065.2892,21.00,"",2499.00,2499.00,"X",542409
6,"B0000304653346",9,"5/204499-4",3,10499.29452000000,3304.9586,21.00,"",3999.00,11997.00,"X",542409
6,"B0000304653346",10,"4/900460-1",1,0.01029600000,0.0082,21.00,"",0.01,0.01,"X",542409
7,"B0000304653347",1,"5/901165-5",1,5558.91336000000,4957.8512,21.00,"",5999.00,5999.00,"X",564956
7,"B0000304653347",2,"1/100839-7",1,5353.09632000000,5371.0743,21.00,"",6499.00,6499.00,"X",564956
7,"B0000304653347",3,"1/101069-0",1,2140.74432000000,2147.9338,21.00,"",2599.00,2599.00,"X",564956
7,"B0000304653347",4,"1/101637-5",1,4529.41632000000,4544.6280,21.00,"",5499.00,5499.00,"X",564956
7,"B0000304653347",5,"1/101167-4",1,4529.41632000000,4544.6280,21.00,"",5499.00,5499.00,"X",564956
7,"B0000304653347",6,"4/900460-1",1,0.01029600000,0.0082,21.00,"",0.01,0.01,"X",564956
8,"B0000304653348",1,"5/406529-0",1,2187.02484000000,2065.2892,21.00,"",2499.00,2499.00,"X",582098
8,"B0000304653348",2,"1/100217-1",1,3602.87928000000,4131.4049,21.00,"",4999.00,4999.00,"X",582098
8,"B0000304653348",3,"1/101164-8",1,9368.63928000000,10742.9752,21.00,"",12999.00,12999.00,"X",582098
8,"B0000304653348",4,"1/100776-1",1,3602.87928000000,4131.4049,21.00,"",4999.00,4999.00,"X",582098
8,"B0000304653348",5,"1/101604-5",1,5044.31928000000,5784.2975,21.00,"",6999.00,6999.00,"X",582098
8,"B0000304653348",6,"1/100721-7",1,10810.07928000000,12395.8677,21.00,"",14999.00,14999.00,"X",582098
8,"B0000304653348",7,"2/101259-3",1,1332.61128000000,1528.0991,21.00,"",1849.00,1849.00,"X",582098
8,"B0000304653348",8,"2/100710-0",1,1332.61128000000,1528.0991,21.00,"",1849.00,1849.00,"X",582098
8,"B0000304653348",9,"1/101637-5",1,3963.23928000000,4544.6280,21.00,"",5499.00,5499.00,"X",582098
8,"B0000304653348",10,"2/101272-7",1,5548.82328000000,6362.8099,21.00,"",7699.00,7699.00,"X",582098
8,"B0000304653348",11,"2/101397-5",1,5548.82328000000,6362.8099,21.00,"",7699.00,7699.00,"X",582098
8,"B0000304653348",12,"2/101396-3",1,5548.82328000000,6362.8099,21.00,"",7699.00,7699.00,"X",582098
8,"B0000304653348",13,"2/101419-3",1,5548.82328000000,6362.8099,21.00,"",7699.00,7699.00,"X",582098
8,"B0000304653348",14,"4/101405-0",1,0.01029600000,0.0082,21.00,"",0.01,0.01,"X",582098
9,"B0000304653349",1,"1/101463-2",1,5764.93632000000,5784.2975,21.00,"",6999.00,6999.00,"X",626443
9,"B0000304653349",2,"1/101465-6",1,5764.93632000000,5784.2975,21.00,"",6999.00,6999.00,"X",626443
9,"B0000304653349",3,"1/100705-7",1,4117.57632000000,4131.4049,21.00,"",4999.00,4999.00,"X",626443
9,"B0000304653349",4,"1/101062-5",1,2140.74432000000,2147.9338,21.00,"",2599.00,2599.00,"X",626443
9,"B0000304653349",5,"1/41183-9",1,5764.93632000000,5784.2975,21.00,"",6999.00,6999.00,"X",626443
9,"B0000304653349",6,"1/101542-0",1,4117.57632000000,4131.4049,21.00,"",4999.00,4999.00,"X",626443
9,"B0000304653349",7,"4/900460-1",1,0.01029600000,0.0082,21.00,"",0.01,0.01,"X",626443
10,"B0000304653350",1,"1/101061-2",2,3746.30256000000,2147.9338,21.00,"",2599.00,5198.00,"X",634169
10,"B0000304653350",2,"1/101450-1",1,5044.31928000000,5784.2975,21.00,"",6999.00,6999.00,"X",634169
10,"B0000304653350",3,"1/42217-6",1,3602.87928000000,4131.4049,21.00,"",4999.00,4999.00,"X",634169
10,"B0000304653350",4,"1/42205-7",2,7205.75856000000,4131.4049,21.00,"",4999.00,9998.00,"X",634169
10,"B0000304653350",5,"1/101063-7",2,3746.30256000000,2147.9338,21.00,"",2599.00,5198.00,"X",634169
