orden,n_comp,renglon,cod_art,cantidad,importe_neto,precio_neto,porc_iva,adicional,precio_lista,total_renglon,cuales,revend
1,"E0001104654239",1,"2/100786-5",1,4941.46224000000,6610.7438,21.00,"",7999.00,7999.00,"X", - 
1,"E0001104654239",2,"2/101025-4",1,6176.98224000000,8263.6363,21.00,"",9999.00,9999.00,"X", - 
1,"E0001104654239",3,"2/101028-0",1,6176.98224000000,8263.6363,21.00,"",9999.00,9999.00,"X", - 
1,"E0001104654239",4,"1/101064-9",1,1605.55824000000,2147.9338,21.00,"",2599.00,2599.00,"X", - 
1,"E0001104654239",5,"1/101067-6",1,1605.55824000000,2147.9338,21.00,"",2599.00,2599.00,"X", - 
1,"E0001104654239",6,"1/101068-8",1,1605.55824000000,2147.9338,21.00,"",2599.00,2599.00,"X", - 
1,"E0001104654239",7,"1/101072-9",1,1605.55824000000,2147.9338,21.00,"",2599.00,2599.00,"X", - 
1,"E0001104654239",8,"1/101075-6",1,1605.55824000000,2147.9338,21.00,"",2599.00,2599.00,"X", - 
1,"E0001104654239",9,"1/101076-8",1,1605.55824000000,2147.9338,21.00,"",2599.00,2599.00,"X", - 
1,"E0001104654239",10,"2/101275-3",1,4756.13424000000,6362.8099,21.00,"",7699.00,7699.00,"X", - 
1,"E0001104654239",11,"2/101339-3",1,6176.98224000000,8263.6363,21.00,"",9999.00,9999.00,"X", - 
1,"E0001104654239",12,"2/101340-8",1,6176.98224000000,8263.6363,21.00,"",9999.00,9999.00,"X", - 
1,"E0001104654239",13,"2/101396-3",1,4756.13424000000,6362.8099,21.00,"",7699.00,7699.00,"X", - 
1,"E0001104654239",14,"2/101419-3",1,4756.13424000000,6362.8099,21.00,"",7699.00,7699.00,"X", - 
1,"E0001104654239",15,"2/101471-2",1,4756.13424000000,6362.8099,21.00,"",7699.00,7699.00,"X", - 
1,"E0001104654239",16,"1/101495-0",2,4940.84448000000,3304.9586,21.00,"",3999.00,7998.00,"X", - 
1,"E0001104654239",17,"1/101600-7",5,11116.59120000000,2974.3801,21.00,"",3599.00,17995.00,"X", - 
1,"E0001104654239",18,"1/101601-9",9,20009.86416000000,2974.3801,21.00,"",3599.00,32391.00,"X", - 
