orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
1,"B0000304655450","2025-06-17",3076490,2,110854.78,28330.20,91615.52,0.00,19239.26,0.00000000000,"3186.97",0.00,"16017.00","12313.20","","0.00","0.00",304
2,"B0000304655451","2025-06-17",3745376,2,53764.49,17773.20,44433.46,0.00,9331.03,0.00000000000,"1545.68",0.00,"14548.80","3224.40","","0.00","0.00",304
3,"B0000304655452","2025-06-17",4158881,2,54218.43,13227.30,44808.62,0.00,9409.81,0.00000000000,"1558.73",0.00,"6688.50","6538.80","","0.00","0.00",304
4,"B0000304655453","2025-06-17",4895118,2,29645.08,3199.20,24500.06,0.00,5145.01,0.00000000000,"852.27",0.00,"0.00","3199.20","","0.00","0.00",304
5,"B0000304655454","2025-06-17",4910818,2,47769.33,11599.00,39478.79,0.00,8290.55,0.00000000000,"1373.32",0.00,"11599.00","0.00","","0.00","0.00",304
6,"B0000304655455","2025-06-17",5420377,2,86558.68,24010.80,71536.10,0.00,15022.58,0.00000000000,"2488.48",0.00,"15597.30","8413.50","","0.00","0.00",304
7,"B0000304655456","2025-06-17",5671167,2,26774.04,6188.70,22127.30,0.00,4646.73,0.00000000000,"769.73",0.00,"5938.80","249.90","","0.00","0.00",304
8,"B0000304655457","2025-06-17",5735939,2,82766.73,33594.75,68402.26,0.00,14364.47,0.00000000000,"2379.46",0.00,"32994.90","599.85","","0.00","0.00",304
9,"B0000304655458","2025-06-17",5892007,2,48742.07,19646.25,40282.70,0.00,8459.37,0.00000000000,"1401.29",0.00,"19196.40","449.85","","0.00","0.00",304
10,"B0000304655459","2025-06-17",5937965,2,83907.93,27385.35,69345.40,0.00,14562.53,0.00000000000,"2412.27",0.00,"22106.40","5278.95","","0.00","0.00",304
11,"B0000304655460","2025-06-17",6003060,2,90091.85,34180.20,74456.08,0.00,15635.78,0.00000000000,"2590.05",0.00,"31855.80","2324.40","","0.00","0.00",304
12,"B0000304655461","2025-06-17",6027369,2,44739.44,9338.80,36974.74,0.00,7764.70,0.00000000000,"1286.22",0.00,"8119.20","1219.60","","0.00","0.00",304
13,"B0000304655462","2025-06-17",6064558,2,80220.05,28015.20,66297.56,0.00,13922.49,0.00000000000,"2306.25",0.00,"24251.70","3763.50","","0.00","0.00",304
14,"B0000304655463","2025-06-17",6113729,2,72630.05,28947.00,60024.84,0.00,12605.22,0.00000000000,"2088.04",0.00,"28047.30","899.70","","0.00","0.00",304
15,"B0000304655464","2025-06-17",6218920,2,83592.73,34795.50,69084.90,0.00,14507.83,0.00000000000,"2403.21",0.00,"34795.50","0.00","","0.00","0.00",304
16,"B0000304655465","2025-06-17",6283438,2,23347.11,5169.10,19295.13,0.00,4051.98,0.00000000000,"671.21",0.00,"4769.20","399.90","","0.00","0.00",304
17,"B0000304655466","2025-06-17",6733131,2,39735.25,4899.10,32839.05,0.00,6896.20,0.00000000000,"1142.35",0.00,"1099.80","3799.30","","0.00","0.00",304
18,"B0000304655467","2025-06-17",6733298,2,31024.54,6658.40,25640.11,0.00,5384.42,0.00000000000,"891.93",0.00,"5958.60","699.80","","0.00","0.00",304
19,"B0000304655468","2025-06-17",6907750,2,41330.36,16646.85,34157.32,0.00,7173.04,0.00000000000,"1188.21",0.00,"16257.00","389.85","","0.00","0.00",304
20,"B0000304655469","2025-06-17",7009062,2,50914.67,11238.10,42078.24,0.00,8836.43,0.00000000000,"1463.75",0.00,"10338.40","899.70","","0.00","0.00",304
21,"B0000304655470","2025-06-17",7085672,2,115500.14,38843.40,95454.66,0.00,20045.48,0.00000000000,"3320.52",0.00,"32379.90","6463.50","","0.00","0.00",304
22,"B0000304655471","2025-06-17",7267770,2,40025.93,9718.80,33079.28,0.00,6946.65,0.00000000000,"1150.71",0.00,"9718.80","0.00","","0.00","0.00",304
