orden,n_comp,renglon,cod_art,cantidad,importe_neto,precio_neto,porc_iva,adicional,precio_lista,total_renglon,cuales,revend
1,"B0000304654452",1,"1/101450-1",1,5044.31928000000,5784.2975,21.00,"",6999.00,6999.00,"X",260012
1,"B0000304654452",2,"1/101285-8",1,5044.31928000000,5784.2975,21.00,"",6999.00,6999.00,"X",260012
1,"B0000304654452",3,"1/101065-1",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",260012
1,"B0000304654452",4,"1/101071-7",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",260012
1,"B0000304654452",5,"1/101070-5",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",260012
1,"B0000304654452",6,"1/101160-9",2,10088.63856000000,5784.2975,21.00,"",6999.00,13998.00,"X",260012
1,"B0000304654452",7,"1/101339-3",1,9368.63928000000,10742.9752,21.00,"",12999.00,12999.00,"X",260012
1,"B0000304654452",8,"1/101069-0",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",260012
1,"B0000304654452",9,"1/101604-5",2,10088.63856000000,5784.2975,21.00,"",6999.00,13998.00,"X",260012
1,"B0000304654452",10,"1/101605-8",3,15132.95784000000,5784.2975,21.00,"",6999.00,20997.00,"X",260012
1,"B0000304654452",11,"4/900460-1",1,0.01029600000,0.0082,21.00,"",0.01,0.01,"X",260012
2,"B0000304654453",1,"2/101511-4",2,7205.75856000000,4131.4049,21.00,"",4999.00,9998.00,"X",340634
2,"B0000304654453",2,"1/101515-3",1,5765.03928000000,6610.7438,21.00,"",7999.00,7999.00,"X",340634
2,"B0000304654453",3,"1/101061-2",3,5619.45384000000,2147.9338,21.00,"",2599.00,7797.00,"X",340634
2,"B0000304654453",4,"1/101076-8",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",340634
2,"B0000304654453",5,"1/101065-1",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",340634
2,"B0000304654453",6,"1/101063-7",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",340634
2,"B0000304654453",7,"1/101071-7",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",340634
2,"B0000304654453",8,"1/101062-5",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",340634
2,"B0000304654453",9,"1/101308-8",2,17295.83856000000,9916.5289,21.00,"",11999.00,23998.00,"X",340634
2,"B0000304654453",10,"1/100801-7",1,11530.79928000000,13222.3140,21.00,"",15999.00,15999.00,"X",340634
2,"B0000304654453",11,"1/101605-8",1,5044.31928000000,5784.2975,21.00,"",6999.00,6999.00,"X",340634
2,"B0000304654453",12,"1/101517-8",1,5765.03928000000,6610.7438,21.00,"",7999.00,7999.00,"X",340634
2,"B0000304654453",13,"1/101317-0",1,7206.47928000000,8263.6363,21.00,"",9999.00,9999.00,"X",340634
2,"B0000304654453",14,"1/101637-5",1,3963.23928000000,4544.6280,21.00,"",5499.00,5499.00,"X",340634
2,"B0000304654453",15,"2/101531-3",1,7206.47928000000,8263.6363,21.00,"",9999.00,9999.00,"X",340634
2,"B0000304654453",16,"2/101530-1",1,7206.47928000000,8263.6363,21.00,"",9999.00,9999.00,"X",340634
2,"B0000304654453",17,"7/101658-6",1,9265.47336000000,8263.6363,21.00,"",9999.00,9999.00,"X",340634
2,"B0000304654453",18,"5/101405-0",1,2274.54084000000,2147.9338,21.00,"",2599.00,2599.00,"X",340634
2,"B0000304654453",19,"4/900061-8",1,0.01029600000,0.0082,21.00,"",0.01,0.01,"X",340634
3,"B0000304654454",1,"1/101450-1",1,5044.31928000000,5784.2975,21.00,"",6999.00,6999.00,"X",343048
3,"B0000304654454",2,"2/100724-3",1,4323.59928000000,4957.8512,21.00,"",5999.00,5999.00,"X",343048
3,"B0000304654454",3,"1/101510-2",1,12972.23928000000,14875.2066,21.00,"",17999.00,17999.00,"X",343048
3,"B0000304654454",4,"1/101123-8",1,6485.75928000000,7437.1900,21.00,"",8999.00,8999.00,"X",343048
3,"B0000304654454",5,"1/100723-1",1,3963.23928000000,4544.6280,21.00,"",5499.00,5499.00,"X",343048
3,"B0000304654454",6,"1/101291-3",1,7206.47928000000,8263.6363,21.00,"",9999.00,9999.00,"X",343048
3,"B0000304654454",7,"1/101237-0",1,7206.47928000000,8263.6363,21.00,"",9999.00,9999.00,"X",343048
3,"B0000304654454",8,"1/100256-7",3,34592.39784000000,13222.3140,21.00,"",15999.00,47997.00,"X",343048
3,"B0000304654454",9,"2/100727-0",1,1332.61128000000,1528.0991,21.00,"",1849.00,1849.00,"X",343048
3,"B0000304654454",10,"1/101602-1",1,2593.87128000000,2974.3801,21.00,"",3599.00,3599.00,"X",343048
3,"B0000304654454",11,"2/100909-3",1,1332.61128000000,1528.0991,21.00,"",1849.00,1849.00,"X",343048
3,"B0000304654454",12,"4/101405-0",1,0.01029600000,0.0082,21.00,"",0.01,0.01,"X",343048
3,"B0000304654454",13,"4/900460-1",1,0.01029600000,0.0082,21.00,"",0.01,0.01,"X",343048
4,"B0000304654455",1,"1/101061-2",1,2140.74432000000,2147.9338,21.00,"",2599.00,2599.00,"X",373941
4,"B0000304654455",2,"1/101510-2",1,14825.41632000000,14875.2066,21.00,"",17999.00,17999.00,"X",373941
4,"B0000304654455",3,"1/100935-7",1,5353.09632000000,5371.0743,21.00,"",6499.00,6499.00,"X",373941
4,"B0000304654455",4,"2/100767-7",1,6341.51232000000,6362.8099,21.00,"",7699.00,7699.00,"X",373941
4,"B0000304654455",5,"2/100770-6",1,6341.51232000000,6362.8099,21.00,"",7699.00,7699.00,"X",373941
4,"B0000304654455",6,"4/101405-0",1,0.01029600000,0.0082,21.00,"",0.01,0.01,"X",373941
4,"B0000304654455",7,"5/204999-8",1,2778.99336000000,2478.5123,21.00,"",2999.00,2999.00,"X",373941
5,"B0000304654456",1,"1/101065-1",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",377241
5,"B0000304654456",2,"1/101075-6",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",377241
5,"B0000304654456",3,"1/100723-1",1,3963.23928000000,4544.6280,21.00,"",5499.00,5499.00,"X",377241
5,"B0000304654456",4,"1/101237-0",1,7206.47928000000,8263.6363,21.00,"",9999.00,9999.00,"X",377241
5,"B0000304654456",5,"1/100193-9",1,8647.91928000000,9916.5289,21.00,"",11999.00,11999.00,"X",377241
5,"B0000304654456",6,"1/100256-7",1,11530.79928000000,13222.3140,21.00,"",15999.00,15999.00,"X",377241
5,"B0000304654456",7,"1/101605-8",1,5044.31928000000,5784.2975,21.00,"",6999.00,6999.00,"X",377241
5,"B0000304654456",8,"1/101646-7",1,5765.03928000000,6610.7438,21.00,"",7999.00,7999.00,"X",377241
5,"B0000304654456",9,"1/33000-6",1,8647.91928000000,9916.5289,21.00,"",11999.00,11999.00,"X",377241
5,"B0000304654456",10,"5/101405-0",2,4374.04968000000,2065.2892,21.00,"",2499.00,4998.00,"X",377241
5,"B0000304654456",11,"5/101405-0",1,3499.76484000000,3304.9586,21.00,"",3999.00,3999.00,"X",377241
5,"B0000304654456",12,"5/101405-0",1,10501.04484000000,9916.5289,21.00,"",11999.00,11999.00,"X",377241
5,"B0000304654456",13,"5/101405-0",1,1749.44484000000,1652.0661,21.00,"",1999.00,1999.00,"X",377241
5,"B0000304654456",14,"5/401091-9",1,14001.68484000000,13222.3140,21.00,"",15999.00,15999.00,"X",377241
5,"B0000304654456",15,"5/302651-1",1,2624.60484000000,2478.5123,21.00,"",2999.00,2999.00,"X",377241
5,"B0000304654456",16,"5/406090-7",2,12250.48968000000,5784.2975,21.00,"",6999.00,13998.00,"X",377241
6,"B0000304654457",1,"1/101071-7",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",403004
6,"B0000304654457",2,"1/100777-3",1,4683.95928000000,5371.0743,21.00,"",6499.00,6499.00,"X",403004
6,"B0000304654457",3,"1/100746-6",1,9368.63928000000,10742.9752,21.00,"",12999.00,12999.00,"X",403004
6,"B0000304654457",4,"1/100723-1",1,3963.23928000000,4544.6280,21.00,"",5499.00,5499.00,"X",403004
6,"B0000304654457",5,"1/41183-9",1,5044.31928000000,5784.2975,21.00,"",6999.00,6999.00,"X",403004
6,"B0000304654457",6,"1/101066-3",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",403004
6,"B0000304654457",7,"1/101517-8",1,5765.03928000000,6610.7438,21.00,"",7999.00,7999.00,"X",403004
