cod_articulo,precio,descripcion,descripcion_adic,escala_1,escala_2,cod_unidad_medida,cod_barra,usa_escala,cta_compras,lleva_partida,lleva_serie,alicuota_iva,cta_ventas,cod_proveedor,sinonimo,alicuota_iva_co,porc_comision_ventas,porc_utilidad,stk_maximo,stk_minimo,punto_pedido,equivalencia,unidad_medida_compra
100228,"0.00","LABIAL LIQUIDO 12H SKLL 5 ANGEL/DEMONIO","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100230,"0.00","STYLING EXPERT MODELADOR Y PROLONG. 130C","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100237,"0.00","VIOLE. TOYS SHAMPOO P/BEBES Y NIÑOS 150G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100238,"0.00","VIOLET TOYS CREMA ENJ. BEBESY NIÑOS 150G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100239,"0.00","VIOLET TOYS BAÑO LIQ. BEBES Y NIÑOS 150G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100240,"0.00","VIOLETTA TOYS COCO COL. BEBES Y NIÑOS100","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100242,"0.00","PERFECTION LABIAL TRAT. 2 NATURAL PINK","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100249,"0.00","PROTECT CALCIO Y COLOR 22 ROJO INTENSO","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100256,"0.00","EAU TOILETTE FEM. FLY 50ML","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100261,"0.00","SEX F WOMEN EAU DE T. FEM 50CC ANIVERSAR","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100283,"0.00","SOMBRA CREMOSA L.DURAC.SK LL 7 AZUL NOCH","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100284,"0.00","SOMBRA CREMOSA L.DURAC.SK LL 8 METAL DOR","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100286,"0.00","CREMA CUERPO Y MANOS VERBENA 215 ML","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100287,"0.00","CREMA CUERPO Y MANOS ROSAS 215 ML","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100289,"0.00","DEO COLONIA FEM. PARAISO 120 ML","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100293,"0.00","DEO COLONIA MASC. SEX MEN INTENSE 120ML","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100303,"0.00","DESOD.ANTIT.ROLLON 55ML PARAISO","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100308,"5999.00","DESOD.ANTIT.ROLLON 55ML SEX MEN INTENSE","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100309,"0.00","PROTECT LAPIZ CORRECTOR DE ESMALTE 4CC","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100310,"0.00","LAPIZ LAB.CREM. CASUAL 70 ROJO PICANTE","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100313,"0.00","ESMALTE CREM. CASUAL 70 ROJO PICANTE","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100331,"0.00","PROTECT FAST DRY TOP COAT P/UÑAS 10CC","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100334,"0.00","PRINCESA MAGICA LOC.C/VAP.NENAS 35CC","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100335,"0.00","CREMA P/MANOS SEX FOR WOMAN 45G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100337,"0.00","CREMA P/MANOS PARAISO 45G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100348,"0.00","LABIAL MATE SK LL 9 ROSA ARDIENTE","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
