orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
1,"B0000304653659","2025-06-17",3159574,2,35615.41,7198.50,29434.22,0.00,6181.19,0.00000000000,"1023.91",0.00,"6039.00","1159.50","","0.00","0.00",087
2,"B0000304653660","2025-06-17",3314723,2,50554.71,20186.70,41780.75,0.00,8773.96,0.00000000000,"1453.40",0.00,"19587.00","599.70","","0.00","0.00",087
3,"B0000304653661","2025-06-17",3765725,2,52727.11,13377.75,43576.13,0.00,9150.99,0.00000000000,"1515.85",0.00,"7378.80","5998.95","","0.00","0.00",087
4,"B0000304653662","2025-06-17",3998495,2,32145.14,3469.00,26566.23,0.00,5578.91,0.00000000000,"924.14",0.00,"0.00","3469.00","","0.00","0.00",087
5,"B0000304653663","2025-06-17",4549430,2,40484.91,4369.00,33458.60,0.00,7026.31,0.00000000000,"1163.90",0.00,"0.00","4369.00","","0.00","0.00",087
6,"B0000304653664","2025-06-17",4552733,10,253247.21,73790.40,189407.44,0.00,63839.78,5682.22000000000,"7280.61",0.00,"51653.70","22136.70","","0.00","24064.21",087
7,"B0000304653665","2025-06-17",4600134,2,51883.91,21596.70,42879.27,0.00,9004.65,0.00000000000,"1491.61",0.00,"21596.70","0.00","","0.00","0.00",087
8,"B0000304653666","2025-06-17",4836278,2,53221.16,12597.90,43984.43,0.00,9236.73,0.00000000000,"1530.06",0.00,"12338.00","259.90","","0.00","0.00",087
9,"B0000304653667","2025-06-17",4968794,2,121639.99,46627.05,100528.92,0.00,21111.07,0.00000000000,"3497.03",0.00,"43823.10","2803.95","","0.00","0.00",087
10,"B0000304653668","2025-06-17",5164699,2,49145.08,8858.80,40615.77,0.00,8529.31,0.00000000000,"1412.87",0.00,"6399.40","2459.40","","0.00","0.00",087
11,"B0000304653669","2025-06-17",5239052,2,60248.96,23472.15,49792.53,0.00,10456.43,0.00000000000,"1732.10",0.00,"22347.60","1124.55","","0.00","0.00",087
12,"B0000304653670","2025-06-17",5242770,2,21618.72,1599.80,17866.71,0.00,3752.01,0.00000000000,"621.52",0.00,"1599.80","0.00","","0.00","0.00",087
13,"B0000304653671","2025-06-17",5337038,2,65216.05,25646.85,53897.56,0.00,11318.49,0.00000000000,"1874.90",0.00,"24597.30","1049.55","","0.00","0.00",087
14,"B0000304653672","2025-06-17",5337054,2,36853.06,14697.45,30457.07,0.00,6395.99,0.00000000000,"1059.49",0.00,"14247.60","449.85","","0.00","0.00",087
15,"B0000304653673","2025-06-17",5337178,2,78619.74,32725.50,64974.99,0.00,13644.75,0.00000000000,"2260.24",0.00,"32725.50","0.00","","0.00","0.00",087
16,"B0000304653674","2025-06-17",5482739,2,93584.52,30784.95,77342.58,0.00,16241.94,0.00000000000,"2690.46",0.00,"28655.70","2129.25","","0.00","0.00",087
17,"B0000304653675","2025-06-17",5595169,2,48423.75,20156.40,40019.62,0.00,8404.12,0.00000000000,"1392.14",0.00,"20156.40","0.00","","0.00","0.00",087
18,"B0000304653676","2025-06-17",5720583,2,43400.53,10538.20,35868.21,0.00,7532.32,0.00000000000,"1247.72",0.00,"10538.20","0.00","","0.00","0.00",087
19,"B0000304653677","2025-06-17",5720680,2,51430.80,6738.80,42504.79,0.00,8926.01,0.00000000000,"1478.59",0.00,"2139.40","4599.40","","0.00","0.00",087
20,"B0000304653678","2025-06-17",5829739,2,31964.03,7448.90,26416.56,0.00,5547.48,0.00000000000,"918.93",0.00,"7199.00","249.90","","0.00","0.00",087
21,"B0000304653679","2025-06-17",5917492,2,113852.51,42355.65,94092.98,0.00,19759.53,0.00000000000,"3273.15",0.00,"38830.80","3524.85","","0.00","0.00",087
22,"B0000304653680","2025-06-17",5955351,2,82872.00,34495.50,68489.26,0.00,14382.74,0.00000000000,"2382.49",0.00,"34495.50","0.00","","0.00","0.00",087
23,"B0000304653681","2025-06-17",6177514,2,101691.44,40508.10,84042.51,0.00,17648.93,0.00000000000,"2923.53",0.00,"39233.40","1274.70","","0.00","0.00",087
