orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
1,"E0001104654239","2025-06-17",9357181,5,186035.38,104460.00,139138.68,0.00,29219.12,0.00000000000,"6866.11",0.00,"88462.00","15998.00","","0.00","0.00",123
2,"E0001104654240","2025-06-17",13371339,5,175576.26,72441.45,131316.15,0.00,27576.39,0.00000000000,"6480.09",0.00,"31197.20","41244.25","","0.00","0.00",123
3,"E0001104654241","2025-06-17",21089183,5,70050.91,37363.05,52392.14,0.00,11002.35,0.00000000000,"2585.41",0.00,"29714.80","7648.25","","0.00","0.00",123
4,"E0001104654242","2025-06-17",22066578,5,29780.28,5562.90,22273.13,0.00,4677.36,0.00000000000,"1099.12",0.00,"779.70","4783.20","","0.00","0.00",123
5,"E0001104654243","2025-06-17",22336540,5,116429.88,43293.40,87079.67,0.00,18286.73,0.00000000000,"4297.14",0.00,"11198.40","32095.00","","0.00","0.00",123
6,"E0001104654244","2025-06-17",22464891,5,7060.51,1339.50,5280.66,0.00,1108.94,0.00000000000,"260.59",0.00,"1039.60","299.90","","0.00","0.00",123
7,"E0001104654245","2025-06-17",24138134,5,135816.27,53769.35,101579.05,0.00,21331.60,0.00000000000,"5012.64",0.00,"19597.60","34171.75","","0.00","0.00",123
8,"E0001104654246","2025-06-17",24141445,5,131315.27,45232.95,98212.68,0.00,20624.66,0.00000000000,"4846.52",0.00,"5439.20","39793.75","","0.00","0.00",123
9,"E0001104654247","2025-06-17",24141526,5,46734.71,9792.90,34953.60,0.00,7340.26,0.00000000000,"1724.86",0.00,"4499.10","5293.80","","0.00","0.00",123
10,"E0001104654248","2025-06-17",24141615,5,157236.19,93212.25,117599.33,0.00,24695.86,0.00000000000,"5803.20",0.00,"84614.00","8598.25","","0.00","0.00",123
11,"E0001104654249","2025-06-17",24141887,5,205012.63,91721.35,153332.06,0.00,32199.73,0.00000000000,"7566.51",0.00,"60027.60","31693.75","","0.00","0.00",123
