orden,n_comp,renglon,cod_art,cantidad,importe_neto,precio_neto,porc_iva,adicional,precio_lista,total_renglon,cuales,revend
1,"B0000304655450",1,"5/400277-1",1,2624.60484000000,2478.5123,21.00,"",2999.00,2999.00,"X",307649
1,"B0000304655450",2,"5/101405-0",2,5249.20968000000,2478.5123,21.00,"",2999.00,5998.00,"X",307649
1,"B0000304655450",3,"1/101075-6",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",307649
1,"B0000304655450",4,"1/101073-1",1,1873.15128000000,2147.9338,21.00,"",2599.00,2599.00,"X",307649
1,"B0000304655450",5,"1/41183-9",1,5044.31928000000,5784.2975,21.00,"",6999.00,6999.00,"X",307649
1,"B0000304655450",6,"1/101540-5",1,3602.87928000000,4131.4049,21.00,"",4999.00,4999.00,"X",307649
1,"B0000304655450",7,"1/100801-7",1,11530.79928000000,13222.3140,21.00,"",15999.00,15999.00,"X",307649
1,"B0000304655450",8,"1/100906-6",1,3602.87928000000,4131.4049,21.00,"",4999.00,4999.00,"X",307649
1,"B0000304655450",9,"1/101602-1",1,2593.87128000000,2974.3801,21.00,"",3599.00,3599.00,"X",307649
1,"B0000304655450",10,"1/101600-7",1,2593.87128000000,2974.3801,21.00,"",3599.00,3599.00,"X",307649
1,"B0000304655450",11,"1/101675-8",1,2882.15928000000,3304.9586,21.00,"",3999.00,3999.00,"X",307649
1,"B0000304655450",12,"1/101673-4",1,2882.15928000000,3304.9586,21.00,"",3999.00,3999.00,"X",307649
1,"B0000304655450",13,"5/101405-0",4,21000.33936000000,4957.8512,21.00,"",5999.00,23996.00,"X",307649
1,"B0000304655450",14,"5/900784-6",1,17502.32484000000,16528.0991,21.00,"",19999.00,19999.00,"X",307649
1,"B0000304655450",15,"5/101405-0",1,2187.02484000000,2065.2892,21.00,"",2499.00,2499.00,"X",307649
1,"B0000304655450",16,"9/101405-0",2,535.39200000000,214.8760,21.00,"",260.00,520.00,"X",307649
1,"B0000304655450",17,"5/101405-0",1,2274.54084000000,2147.9338,21.00,"",2599.00,2599.00,"X",307649
1,"B0000304655450",18,"5/101405-0",2,21002.08968000000,9916.5289,21.00,"",11999.00,23998.00,"X",307649
1,"B0000304655450",19,"4/900061-8",1,0.01029600000,0.0082,21.00,"",0.01,0.01,"X",307649
2,"B0000304655451",1,"1/101471-2",1,7206.47928000000,8263.6363,21.00,"",9999.00,9999.00,"X",374537
2,"B0000304655451",2,"1/100777-3",1,4683.95928000000,5371.0743,21.00,"",6499.00,6499.00,"X",374537
2,"B0000304655451",3,"1/100256-7",1,11530.79928000000,13222.3140,21.00,"",15999.00,15999.00,"X",374537
2,"B0000304655451",4,"4/101405-0",1,0.01029600000,0.0082,21.00,"",0.01,0.01,"X",374537
2,"B0000304655451",5,"5/101405-0",2,4374.04968000000,2065.2892,21.00,"",2499.00,4998.00,"X",374537
2,"B0000304655451",6,"5/101405-0",1,10501.04484000000,9916.5289,21.00,"",11999.00,11999.00,"X",374537
2,"B0000304655451",7,"5/101405-0",1,3937.34484000000,3718.1818,21.00,"",4499.00,4499.00,"X",374537
2,"B0000304655451",8,"1/100885-2",1,11530.79928000000,13222.3140,21.00,"",15999.00,15999.00,"X",374537
