orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
1,"B0000304655001","2025-06-17",3121240,2,77262.38,27446.85,63853.21,0.00,13409.17,0.00000000000,"2221.22",0.00,"24147.30","3299.55","","0.00","0.00",300
2,"B0000304655002","2025-06-17",3824756,10,256404.34,75619.05,191768.70,0.00,64635.64,6711.90000000000,"7371.38",0.00,"53842.50","21776.55","","0.00","24364.21",300
3,"B0000304655003","2025-06-17",4087313,2,25200.50,6119.00,20826.86,0.00,4373.64,0.00000000000,"724.49",0.00,"6119.00","0.00","","0.00","0.00",300
4,"B0000304655004","2025-06-17",4197674,2,29564.36,7178.60,24433.35,0.00,5131.00,0.00000000000,"849.95",0.00,"7178.60","0.00","","0.00","0.00",300
5,"B0000304655005","2025-06-17",5000742,2,57253.85,13377.15,47317.23,0.00,9936.62,0.00000000000,"1645.99",0.00,"6058.80","7318.35","","0.00","0.00",300
6,"B0000304655006","2025-06-17",5071291,2,65391.30,21370.65,54042.39,0.00,11348.90,0.00000000000,"1879.94",0.00,"17276.70","4093.95","","0.00","0.00",300
7,"B0000304655007","2025-06-17",5078482,2,71878.95,12778.50,59404.09,0.00,12474.86,0.00000000000,"2066.45",0.00,"12778.50","0.00","","0.00","0.00",300
8,"B0000304655008","2025-06-17",5440050,2,41474.87,8008.50,34276.75,0.00,7198.12,0.00000000000,"1192.36",0.00,"6358.80","1649.70","","0.00","0.00",300
9,"B0000304655009","2025-06-17",5595738,2,66718.40,20786.70,55139.17,0.00,11579.23,0.00000000000,"1918.09",0.00,"15897.30","4889.40","","0.00","0.00",300
10,"B0000304655010","2025-06-17",5731321,2,28881.73,5138.60,23869.20,0.00,5012.53,0.00000000000,"830.32",0.00,"3639.20","1499.40","","0.00","0.00",300
11,"B0000304655011","2025-06-17",6023240,2,25940.78,5799.00,21438.66,0.00,4502.12,0.00000000000,"745.77",0.00,"5399.20","399.80","","0.00","0.00",300
12,"B0000304655012","2025-06-17",6105726,2,42460.56,11547.15,35091.37,0.00,7369.19,0.00000000000,"1220.70",0.00,"7258.20","4288.95","","0.00","0.00",300
13,"B0000304655013","2025-06-17",6562701,2,74172.97,19947.45,61299.98,0.00,12872.99,0.00000000000,"2132.40",0.00,"18297.90","1649.55","","0.00","0.00",300
14,"B0000304655014","2025-06-17",6562779,2,34823.14,13317.00,28779.46,0.00,6043.69,0.00000000000,"1001.13",0.00,"12492.30","824.70","","0.00","0.00",300
