orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
281,"B0000304653621","2025-06-17",24879770,2,73609.04,29997.15,60833.92,0.00,12775.12,0.00000000000,"2116.19",0.00,"29547.30","449.85","","0.00","0.00",085
282,"B0000304653622","2025-06-17",24879789,2,40355.38,9798.80,33351.55,0.00,7003.83,0.00000000000,"1160.18",0.00,"9798.80","0.00","","0.00","0.00",085
283,"B0000304653623","2025-06-17",24879800,2,54712.40,19346.55,45216.86,0.00,9495.54,0.00000000000,"1572.93",0.00,"16947.30","2399.25","","0.00","0.00",085
284,"B0000304653624","2025-06-17",24879843,2,20648.34,2639.30,17064.74,0.00,3583.60,0.00000000000,"593.62",0.00,"739.80","1899.50","","0.00","0.00",085
285,"B0000304653625","2025-06-17",24880213,2,22327.40,2409.50,18452.40,0.00,3875.00,0.00000000000,"641.89",0.00,"0.00","2409.50","","0.00","0.00",085
286,"B0000304653626","2025-06-17",24881716,2,74007.14,30805.50,61162.93,0.00,12844.21,0.00000000000,"2127.63",0.00,"30805.50","0.00","","0.00","0.00",085
287,"B0000304653627","2025-06-17",24903434,2,29975.17,6778.60,24772.87,0.00,5202.30,0.00000000000,"861.76",0.00,"6378.80","399.80","","0.00","0.00",085
288,"B0000304653628","2025-06-17",24903507,2,46652.34,12027.90,38555.65,0.00,8096.69,0.00000000000,"1341.21",0.00,"6854.10","5173.80","","0.00","0.00",085
289,"B0000304653629","2025-06-17",24903515,2,24396.38,5299.00,20162.30,0.00,4234.08,0.00000000000,"701.37",0.00,"4799.20","499.80","","0.00","0.00",085
290,"B0000304653630","2025-06-17",24903523,2,69009.80,24505.20,57032.90,0.00,11976.91,0.00000000000,"1983.96",0.00,"21551.10","2954.10","","0.00","0.00",085
291,"B0000304653631","2025-06-17",24903531,2,35492.60,14023.80,29332.73,0.00,6159.87,0.00000000000,"1020.38",0.00,"13498.80","525.00","","0.00","0.00",085
292,"B0000304653632","2025-06-17",24903710,2,47718.54,14485.35,39436.81,0.00,8281.73,0.00000000000,"1371.86",0.00,"10721.10","3764.25","","0.00","0.00",085
293,"B0000304653633","2025-06-17",24903728,2,20852.51,2939.00,17233.48,0.00,3619.03,0.00000000000,"599.49",0.00,"1239.60","1699.40","","0.00","0.00",085
294,"B0000304653634","2025-06-17",24903752,2,28650.48,6519.20,23678.09,0.00,4972.40,0.00000000000,"823.67",0.00,"6169.20","350.00","","0.00","0.00",085
295,"B0000304653635","2025-06-17",24903787,2,64405.94,18431.70,53228.05,0.00,11177.89,0.00000000000,"1851.61",0.00,"12567.60","5864.10","","0.00","0.00",085
296,"B0000304653636","2025-06-17",24903809,2,42918.07,9408.80,35469.48,0.00,7448.59,0.00000000000,"1233.85",0.00,"8599.00","809.80","","0.00","0.00",085
297,"B0000304653637","2025-06-17",24903850,2,18943.01,4599.60,15655.38,0.00,3287.63,0.00000000000,"544.59",0.00,"4599.60","0.00","","0.00","0.00",085
