orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
1,"B0000304654452","2025-06-17",2600129,2,62260.13,25915.80,51454.65,0.00,10805.48,0.00000000000,"1789.92",0.00,"25915.80","0.00","","0.00","0.00",164
2,"B0000304654453","2025-06-17",3406342,2,104714.71,40173.75,86541.08,0.00,18173.63,0.00000000000,"3010.45",0.00,"39783.90","389.85","","0.00","0.00",164
3,"B0000304654454","2025-06-17",3430480,2,87053.63,36236.10,71945.15,0.00,15108.48,0.00000000000,"2502.71",0.00,"36236.10","0.00","","0.00","0.00",164
4,"B0000304654455","2025-06-17",3739414,2,37781.29,8798.90,31224.20,0.00,6557.08,0.00000000000,"1086.18",0.00,"8499.00","299.90","","0.00","0.00",164
5,"B0000304654456","2025-06-17",3772411,2,103553.10,31105.95,85581.08,0.00,17972.03,0.00000000000,"2977.05",0.00,"22707.30","8398.65","","0.00","0.00",164
6,"B0000304654457","2025-06-17",4030044,2,68367.87,25030.65,56502.37,0.00,11865.50,0.00000000000,"1965.51",0.00,"22631.40","2399.25","","0.00","0.00",164
7,"B0000304654458","2025-06-17",4047494,2,23262.16,4498.60,19224.93,0.00,4037.24,0.00000000000,"668.76",0.00,"3578.80","919.80","","0.00","0.00",164
8,"B0000304654459","2025-06-17",4115384,10,1117338.92,326474.55,835674.75,0.00,281664.17,25070.24000000000,"32122.41",0.00,"229441.80","97032.75","","0.00","106172.48",164
9,"B0000304654460","2025-06-17",4214145,2,55005.05,15462.30,45458.72,0.00,9546.33,0.00000000000,"1581.34",0.00,"10258.80","5203.50","","0.00","0.00",164
10,"B0000304654461","2025-06-17",4347358,2,87379.74,23410.35,72214.66,0.00,15165.08,0.00000000000,"2512.08",0.00,"14337.30","9073.05","","0.00","0.00",164
11,"B0000304654462","2025-06-17",4804988,2,52966.44,22047.30,43773.92,0.00,9192.52,0.00000000000,"1522.73",0.00,"22047.30","0.00","","0.00","0.00",164
