orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
1,"B0000304655835","2025-06-17",5158761,2,85857.73,24984.60,70956.80,0.00,14900.93,0.00000000000,"2468.33",0.00,"17457.00","7527.60","","0.00","0.00",505
2,"B0000304655836","2025-06-17",5469074,2,49373.56,9838.90,40804.60,0.00,8568.97,0.00000000000,"1419.44",0.00,"8119.20","1719.70","","0.00","0.00",505
3,"B0000304655837","2025-06-17",6030203,2,66947.74,18760.95,55328.71,0.00,11619.03,0.00000000000,"1924.68",0.00,"18386.10","374.85","","0.00","0.00",505
